id,alias,name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,rank,name_and_rank
DLOznas2_RUk1tKYSrcxZA,barista-cafe-coral-gables,Barista Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/Oq_IIJ76Y6eXo9wZILn-Tg/o.jpg,FALSE,https://www.yelp.com/biz/barista-cafe-coral-gables?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,33,4.5,$,+13058776722,(305) 877-6722,2771.826710598667,25.749883,-80.26057,2351 Salzedo St,NA,,Coral Gables,33134,US,FL,1,1. Barista Cafe
hlxQDNTr6flOHfVdvvKjjA,mondongos-doral,Mondongo's,https://s3-media3.fl.yelpcdn.com/bphoto/kjIlhmbZBfb6ERE11zgE7A/o.jpg,FALSE,https://www.yelp.com/biz/mondongos-doral?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,260,4,$$,+13057184977,(305) 718-4977,7770.519563327315,25.8066502,-80.3374847,3500 NW 87th Ave,,,Doral,33172,US,FL,2,2. Mondongo's
mjcRAAevoX6wMeEKsMA4lg,manantial-market-place-miami,Manantial Market Place,https://s3-media1.fl.yelpcdn.com/bphoto/3_fNFq8yAfQ9nz3l_FzQ5w/o.jpg,FALSE,https://www.yelp.com/biz/manantial-market-place-miami?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,32,4.5,$$,+17863888989,(786) 388-8989,2632.9072542963604,25.7701921,-80.3058713,6778 W Flagler St,,,Miami,33144,US,FL,3,3. Manantial Market Place
cPtJAh4GXr4CAWJ7CGecxg,patacon-pisao-doral-doral,Patacon Pisao - Doral,https://s3-media2.fl.yelpcdn.com/bphoto/1TR3KLexuuZfp9pud3HUHA/o.jpg,FALSE,https://www.yelp.com/biz/patacon-pisao-doral-doral?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,183,4,$$,+13055911968,(305) 591-1968,7278.254938825493,25.8082670103452,-80.3265981693115,7902 NW 36th St,Ste 10,,Doral,33166,US,FL,4,4. Patacon Pisao - Doral
kP-BaCjMVZDkEXL7EQ2isg,rincón-antioqueño-restaurant-miami-2,Rincón Antioqueño Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/Pgx6pb29wQ6rlpcpFCgKiA/o.jpg,FALSE,https://www.yelp.com/biz/rinc%C3%B3n-antioque%C3%B1o-restaurant-miami-2?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,72,4,$$,+13052621515,(305) 262-1515,1847.0840195766648,25.7634296,-80.3022614,6521 SW 8th St,,,Miami,33144,US,FL,5,5. Rincón Antioqueño Restaurant
lyBJV9l2Y2UZ9Grxff5Jfw,pueblito-viejo-miami,Pueblito Viejo,https://s3-media3.fl.yelpcdn.com/bphoto/rrlQ-BHwdACuM2ICUooTfg/o.jpg,FALSE,https://www.yelp.com/biz/pueblito-viejo-miami?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,232,4,$$,+13055514650,(305) 551-4650,4636.8141101155225,25.733579,-80.329196,8285 Bird Rd,,,Miami,33155,US,FL,6,6. Pueblito Viejo
_VkJ8X9RXagTqhAJnfa7gg,el-machetico-deli-doral,El Machetico Deli,https://s3-media3.fl.yelpcdn.com/bphoto/DdphGLtmLWHQXC2cTkVqhg/o.jpg,FALSE,https://www.yelp.com/biz/el-machetico-deli-doral?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,36,4.5,$,+13055990397,(305) 599-0397,8053.773180827292,25.7965017,-80.352188,9674 NW 25th St,NA,NA,Doral,33172,US,FL,7,7. El Machetico Deli
edSPTFPmUS9rBCgQMcymWg,monserrate-restaurante-doral,Monserrate Restaurante,https://s3-media1.fl.yelpcdn.com/bphoto/O9ecYJcmnkTqUeQ0-y9cDg/o.jpg,FALSE,https://www.yelp.com/biz/monserrate-restaurante-doral?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,130,3.5,$$,+13054360803,(305) 436-0803,9217.409312856335,25.81273,-80.35146,9545 NW 41st St,,,Doral,33178,US,FL,8,8. Monserrate Restaurante
KLYFaqc8ewGumhki9HOnsA,los-perros-miami-2,Los Perros,https://s3-media1.fl.yelpcdn.com/bphoto/jy01Oo7V2K3cOfsCeKWeqA/o.jpg,FALSE,https://www.yelp.com/biz/los-perros-miami-2?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,104,3.5,$,+17869536845,(786) 953-6845,4854.3818488334955,25.768905,-80.332932,8410 W Flagler St,Ste 113B,,Miami,33144,US,FL,9,9. Los Perros
DIgYpCyP31q8S_BYRp7eYQ,bandeja-paisa-restaurant-miami,Bandeja Paisa Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/mWkPGiL5CF009oVtmV6rCw/o.jpg,FALSE,https://www.yelp.com/biz/bandeja-paisa-restaurant-miami?adjust_creative=e0hlpMBG8jmVFXszIoUqvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e0hlpMBG8jmVFXszIoUqvg,87,3.5,$$,+13052261551,(305) 226-1551,6573.107518756727,25.7692715,-80.3508313,9511 W Flagler St,,,Miami,33174,US,FL,10,10. Bandeja Paisa Restaurant
