From	To	From_Lat	From_Long	To_Lat	To_Long
NAS	JFK	25.038958	-77.466231	40.639751	-73.778925
SJU	EWR	18.439417	-66.001833	40.6925	-74.168667
SJU	JFK	18.439417	-66.001833	40.639751	-73.778925
JAX	FLL	30.494056	-81.687861	26.072583	-80.15275
JFK	CHS	40.639751	-73.778925	32.898647	-80.040528
TPA	BOS	27.975472	-82.53325	42.364347	-71.005181
AUS	LGB	30.194528	-97.669889	33.817722	-118.151611
HPN	TPA	41.066959	-73.707575	27.975472	-82.53325
HAV	FLL	22.989153	-82.409086	26.072583	-80.15275
EWR	RSW	40.6925	-74.168667	26.536167	-81.755167
POP	JFK	19.7579	-70.570033	40.639751	-73.778925
FLL	SJU	26.072583	-80.15275	18.439417	-66.001833
FLL	LGA	26.072583	-80.15275	40.777245	-73.872608
JFK	FLL	40.639751	-73.778925	26.072583	-80.15275
SJU	FLL	18.439417	-66.001833	26.072583	-80.15275
CHS	BOS	32.898647	-80.040528	42.364347	-71.005181
PIT	BOS	40.491467	-80.232872	42.364347	-71.005181
LIR	JFK	10.593289	-85.544408	40.639751	-73.778925
PAP	FLL	18.58005	-72.292542	26.072583	-80.15275
CUN	MCO	21.036528	-86.877083	28.429394	-81.308994
EWR	MCO	40.6925	-74.168667	28.429394	-81.308994
NAS	FLL	25.038958	-77.466231	26.072583	-80.15275
BOS	SFO	42.364347	-71.005181	37.618972	-122.374889
PAP	JFK	18.58005	-72.292542	40.639751	-73.778925
AUA	JFK	12.501389	-70.015221	40.639751	-73.778925
ORH	MCO	42.2673	-71.8757	28.429394	-81.308994
FLL	JFK	26.072583	-80.15275	40.639751	-73.778925
BOS	BNA	42.364347	-71.005181	36.124472	-86.678194
PBI	EWR	26.683161	-80.095589	40.6925	-74.168667
PLS	FLL	21.773625	-72.265886	26.072583	-80.15275
SJU	SDQ	18.439417	-66.001833	18.429664	-69.668925
JFK	PBI	40.639751	-73.778925	26.683161	-80.095589
HPN	PBI	41.066959	-73.707575	26.683161	-80.095589
FLL	BOS	26.072583	-80.15275	42.364347	-71.005181
FLL	EWR	26.072583	-80.15275	40.6925	-74.168667
PBI	HPN	26.683161	-80.095589	41.066959	-73.707575
BOS	FLL	42.364347	-71.005181	26.072583	-80.15275
JFK	MCO	40.639751	-73.778925	28.429394	-81.308994
MCO	DCA	28.429394	-81.308994	38.852083	-77.037722
SFO	LAS	37.618972	-122.374889	36.080056	-115.15225
BOS	TPA	42.364347	-71.005181	27.975472	-82.53325
FLL	BUF	26.072583	-80.15275	42.940525	-78.732167
MCO	JFK	28.429394	-81.308994	40.639751	-73.778925
JFK	BGI	40.639751	-73.778925	13.074603	-59.492456
SJU	BOS	18.439417	-66.001833	42.364347	-71.005181
