"","X","Y"
"1",68.601997,102.491997
"2",454.665985,264.80899
"3",101.283997,169.285995
"4",372.61499,263.140991
"5",300.989014,46.555
"6",100.904999,205.776993
"7",110.170998,55.647999
"8",118.856003,47.445999
"9",355.247009,76.431
"10",276.085999,182.048004
"11",143.376007,117.737999
"12",204.207001,133.410004
"13",78.260002,139.326996
"14",158.722,211.529999
"15",68.433998,59.125
"16",407.505005,160.498001
"17",416.434998,150.445999
"18",507.549011,190.889008
"19",149.841003,204.709
"20",498.759003,181.947998
"21",274.61499,232.733994
"22",84.023003,90.084
"23",362.240997,242.054993
"24",505.821014,159.210007
"25",420.803986,134.830002
"26",504.035004,314.125
"27",356.670013,199.093994
"28",326.54599,91.766998
"29",214.477005,63.821999
"30",351.351013,86.885002
"31",216.041,242.024994
"32",441.700012,277.333008
"33",68.678001,203.095001
"34",547.051025,99.218002
"35",405.983002,141.934006
"36",402.23999,247.876007
"37",197.134003,260.622009
"38",163.141006,66.302002
"39",561.950989,172.966995
"40",340.036987,115.315002
"41",63.076,78.059998
"42",261.072998,268.122009
"43",319.376007,65.832001
"44",494.333008,148.839005
"45",537.507019,279.666992
"46",430.949005,114.013
"47",393.601013,118.588997
"48",320.429993,57.284
"49",77.561996,152.847
"50",361.268005,272.518005
"51",417.06601,120.683998
"52",79.098,128.404999
"53",76.775002,83.792
"54",136.695999,213.328003
"55",423.141998,161.445999
"56",88.132004,84.512001
"57",201.807999,97.972
"58",200.869003,200.106003
"59",351.790009,207.098999
"60",127.745003,218.070007
"61",561.827026,150.697006
"62",144.490997,171.658005
"63",571.211975,245.481995
"64",559.039001,230.925995
"65",289.503998,114.581001
"66",209.492996,54.874001
"67",431.458008,269.970001
"68",429.272003,284.454987
"69",45.702999,139.164993
"70",279.834991,156
"71",321.253998,75.781998
"72",199.570999,159.617004
"73",179.005997,238.615005
"74",57.527,198.425995
"75",359.072998,279.493988
"76",289.561005,274.976013
"77",366.042999,43.703999
"78",493.071014,137.214996
"79",74.259003,114.186996
"80",63.905998,186.028
"81",272.247009,148.520004
"82",450.420013,276.351013
"83",118.652,47.566002
"84",153.822006,156.339996
"85",206.664001,148.380005
"86",398.006012,120.303001
"87",246.253998,234.438004
"88",92.309998,114.417999
"89",529.077026,73.43
"90",129.910004,133.876999
"91",382.894989,44.820999
"92",506.03299,181.779007
"93",62.486,89.726997
"94",296.484009,74.566002
"95",551.643982,152.569
"96",209.496994,231.393997
"97",239.556,241.076004
"98",540.18103,57.262001
"99",172.682999,272.181
"100",290.518005,190.050995
"101",316.924988,50.752998
"102",97.491997,58.952999
"103",156.371994,260.43399
"104",345.459015,153.759995
"105",264.006012,112.605003
"106",224.138,75.088997
"107",228.167999,167.130005
"108",512.265015,44.147999
"109",145.080002,237.365005
"110",253.703003,237.498993
"111",201.904999,53.102001
"112",556.010986,101.082001
"113",452.518005,269.38501
"114",371.035004,258.471008
"115",457.580994,127.716003
"116",499.487,145.822006
"117",74.156998,158.457001
"118",328.513,242.401993
"119",216.210007,85.133003
"120",509.731995,149.987
"121",199.266998,265.593994
"122",211.369003,70.834999
"123",344.519012,43.955002
"124",517.099976,272.819
"125",80.834999,114.596001
"126",506.614014,164.535004
"127",373.147003,183.348007
"128",340.328003,148.423004
"129",414.768005,120.626999
"130",404.617004,188.162994
"131",628.765015,182.190002
"132",388.846008,201.076996
"133",239.492996,76.288002
"134",374.455994,277.561005
"135",406.261993,62.543999
"136",204.399002,238.399002
"137",287.777008,109.091003
"138",373.372009,200.987
"139",85.685997,111.491997
"140",537.796997,200.25
"141",379.643005,203.580002
"142",337.071014,264.25
"143",142.104996,174.246994
"144",607.012024,95.57
"145",363.566986,117.723
"146",403.928009,48.665001
"147",357.195007,148.770004
"148",291.483002,275.625
"149",422.089996,46.941002
"150",271.251007,248.488998
"151",553.254028,215.649994
"152",431.526001,264.532013
"153",542.892029,216.173996
"154",142.255005,48.327
"155",189.363998,192.710007
"156",221.811996,95.016998
"157",225.774994,182.016006
"158",150.815994,38.931999
"159",202.830002,59.569
"160",505.18399,78.089996
"161",372.13501,54.532001
"162",402.973999,152.485001
"163",265.846008,156.804993
"164",87.424004,122.912003
"165",423.587006,303.122009
"166",501.61499,182.664001
"167",276.358002,67.304001
"168",274.273987,127.918999
"169",189.867004,194.475998
"170",401.798004,104.116997
"171",204.031998,58.139999
"172",219.970001,275.52301
"173",215.925995,109.172997
"174",544.536011,153.227997
"175",545.335022,209.330994
"176",277.588013,118.246002
"177",218.899002,250.218994
"178",226.056,120.683998
"179",549.719971,180.001999
"180",199.910004,276.138
"181",70.335999,206.401001
"182",61.004002,100.904999
"183",121.459999,76.32
"184",564.698975,201.604004
"185",289.307007,224.518005
"186",206.908005,146.298004
"187",36.775002,70.014999
"188",496.278992,160.412003
"189",516.98999,70.311996
"190",339.785004,263.169006
"191",225.919006,79.082001
"192",360.173004,211.240005
"193",366.281006,58.452999
"194",424.911011,136.615997
"195",548.374023,145.423004
"196",387.81601,113.753998
"197",451.851013,273.096008
"198",283.040985,48.144001
"199",404.425995,257.584015
"200",402.472992,220.733994
"201",142.244003,231.229996
"202",145.981003,227.061996
"203",284.207001,264.682007
"204",337.813995,257.343994
"205",105.432999,51.442001
"206",545.223999,225.050995
"207",208.389999,75.332001
"208",345.174011,203.871994
"209",273.891998,219.988998
"210",289.348999,173.746002
"211",564.370972,89.732002
"212",412.708008,116.077003
"213",271.722992,132.408997
"214",421.483002,211.5
"215",264.535004,268.019989
"216",489.466003,162.869995
"217",89.891998,213.235001
"218",543.458984,286.915009
"219",223.421005,68.188004
"220",392.941986,135.414001
"221",68.300003,187.684006
"222",489.808014,165.391006
"223",69.912003,147.278
"224",390.70401,47.810001
"225",287.981995,216.134003
