x,y
-1.545448388,0.697142112
-0.528393243,-0.299152891
-1.086758791,1.360181377
-0.000111512,1.920287471
0.388953783,-0.053646534
0.532631272,-0.79783816
-1.83757166,0.769780319
0.650598453,-0.342328601
-0.624245435,0.68650515
0.891555027,2.488660267
0.501271527,-0.384464742
-0.803163808,-0.883614055
0.636441356,-1.149781696
1.142900885,-0.373910845
0.061194403,0.6867576
0.680344234,-1.168494379
-0.280175641,-1.302840988
0.186326169,-0.382690448
-1.217599461,-1.487398966
-1.334893084,1.022239645
-0.419535142,0.894849076
0.004544606,1.553703703
0.184485773,-0.129359762
0.493568612,0.037734262
-0.124483394,-0.619714552
-1.377615459,1.158417077
-1.879625138,0.204124211
0.535320851,-1.123481031
-0.735640047,0.251013827
2.541753406,-0.353214655
0.612573754,-0.897039879
1.444357046,-1.220508898
-0.764967228,-1.761968732
-0.801074301,0.182326657
-0.495517709,0.710371565
-0.067943377,0.706624856
2.236621265,-1.611974677
1.495307075,-2.466397416
0.504329494,-0.969640361
-0.81596186,-0.112493429
1.139542368,0.401363343
0.161711312,0.552763611
-0.195021533,0.906173234
-1.136199479,-0.579760418
-0.968054125,-1.87754137
0.196126514,0.014176453
0.013484857,-0.222435956
1.60316493,1.17494021
-2.35254144,0.045444444
0.661638905,0.328045655
1.388724566,-0.458658403
1.145351578,-0.952782339
0.696117919,-0.154781277
-0.214237003,-3.101126953
0.24564482,-0.880891919
1.066637601,-0.861768617
0.608684092,-1.084716035
1.065852716,-1.367662364
-0.373869657,0.741298826
0.759902531,-1.250031085
-0.48624207,0.012977048
1.345215484,-1.297618957
1.51074436,-0.620599385
-1.401503017,-0.575830246
0.451779293,-1.027763838
-0.139595132,-0.095808835
-1.894255691,1.788978588
-0.379808136,-1.634051317
-1.400836413,-0.5561039
0.153514627,0.501086539
-1.24440438,2.78522961
1.121290824,0.806971819
0.686400876,-1.639159816
0.069780405,-0.341081547
-0.965555147,-0.375533561
0.445582759,-0.17090865
-0.214505485,-1.00408707
0.496781848,0.725504156
0.96264067,-0.848794063
-0.170997636,-0.339858364
1.9882142,-1.174312149
-0.99201182,-0.576365095
-0.363276269,-0.474546334
-1.07385018,1.883754074
-0.364831677,-0.457052898
-0.708557464,2.088731582
-1.102897207,-0.087205195
-1.061110046,-0.146998546
0.489573474,0.902117262
0.148917835,-0.221057895
1.392007428,0.630215256
-1.406948646,-1.526191378
-0.591511617,0.251369831
1.02998912,0.247328738
-1.01701077,-0.087343566
-0.405573868,-0.942148118
-1.67522123,-0.828740894
-0.044473388,0.830683263
-1.047339231,1.132970371
-1.730123936,0.303743392
0.191175383,0.200896631
-0.57411653,-0.411388614
-0.416233971,3.28670242
0.939961087,0.191241129
-0.828215511,-0.24133048
0.030131873,1.25505788
-0.695822708,-0.062067251
-0.10419485,-1.67522947
1.421785862,-0.346186951
-1.250225281,-0.147543393
-0.828244307,-0.001369677
-1.938900361,-0.240291763
-0.35578756,0.338328758
0.358703768,-1.885657964
1.813419267,0.566430934
-1.758994069,-0.429847189
0.415516065,-0.876875776
0.187694659,-0.519097399
0.72456444,1.977583181
0.218118393,0.563400608
-1.455613313,1.588233256
0.786242297,0.322287341
-0.392552619,0.802441322
-0.405628258,-1.6219943
-1.072345801,-0.992798626
0.188849789,-0.283467595
-0.035676692,0.542686067
-0.315080353,-0.467038239
0.056666721,-0.447553334
0.283850791,-0.067081116
0.391728634,0.679812672
-2.015250639,-0.66939849
-1.304219701,1.866283574
0.058618587,0.635748533
0.77611649,-2.426889482
-2.096922837,0.74880232
0.627372648,0.049408636
-3.497727648,1.820722067
-1.231432037,-1.118127479
-0.035843146,-0.966642253
0.561005901,0.718535034
-0.322762601,-0.920998372
-0.715861924,-0.145045296
1.112866188,-0.462334897
0.763935132,1.288764089
0.357268356,0.158876278
1.37497608,-0.743136762
0.226493524,-1.492317995
-0.182036901,-0.421098139
-0.35381121,0.029066428
-0.196667976,0.259045848
-0.096436789,0.264627717
0.434292785,0.802185456
0.980226465,0.635173157
0.252092572,0.367322755
0.979459273,0.284040128
-1.256298431,1.250748953
1.445386509,1.03023701
-0.42658807,-0.014217816
0.364222523,0.64778516
-0.053812274,-1.319551995
1.116646348,0.692439376
-0.203595913,0.686193845
0.809052546,0.458162769
-0.194833719,-1.349544201
0.406754064,0.741054516
-0.025540855,-0.210519982
0.585261019,-0.879140494
-0.346695692,0.347935774
0.075538963,-0.235578801
1.552635266,-0.712530786
-0.181593388,-0.205429263
-0.599869364,-1.998346556
0.920940307,0.486614775
0.555899424,-0.109183396
0.053265487,1.964078198
-0.156782794,1.207320694
-0.772181162,0.475475718
-0.855014653,1.951753066
-0.389466766,-1.427978046
-2.150722185,0.297047034
-0.487731266,0.180273871
0.919724648,-0.553110815
-0.641820616,-1.59897846
0.16635741,2.11544848
0.198950982,-0.872122029
0.88039615,-0.297912865
-1.171928195,-0.484004516
1.167998737,-0.24285545
0.947764956,0.556313351
0.847175553,0.722083938
1.581355783,-0.882478715
0.352180684,0.772377435
0.793156086,-1.345162634
-0.588666865,-0.474702477
-0.059046828,0.751563767
