year,artist_name,explicit,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1960,Percy Faith & His Orchestra,FALSE,"The Theme From ""A Summer Place"" - Single Version",0.466,0.389,5,-12.825,1,0.0253,0.631,0.843,0.295,0.745,92.631,144893
1960,Jim Reeves,FALSE,He'll Have to Go,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640
1960,Johnny Preston,FALSE,Running Bear,0.758,0.462,5,-8.952,0,0.0482,0.79,1.25e-5,0.17,0.726,120.004,160027
1960,Mark Dinning,FALSE,Teen Angel,0.583,0.168,0,-12.426,1,0.035,0.869,0,0.148,0.353,97.572,157080
1960,Brenda Lee,FALSE,I'm Sorry - Single Version,0.567,0.141,10,-14.803,1,0.0315,0.925,0.00465,0.117,0.315,103.078,160067
1960,Elvis Presley,FALSE,It's Now Or Never - 2003 Sony Remaster,0.635,0.391,4,-14.14,1,0.0367,0.511,0.00247,0.493,0.713,126.267,195733
1960,Jimmy Jones,FALSE,Handy Man,0.534,0.72,10,-7.679,1,0.0395,0.649,0,0.258,0.901,74.207,120973
1960,Elvis Presley,FALSE,Stuck on You,0.664,0.539,7,-11.781,1,0.0408,0.811,6.91e-4,0.156,0.946,132.212,139293
1960,Chubby Checker,FALSE,The Twist - Re-Recording,0.524,0.713,4,-12.848,1,0.0314,0.0188,0.0058,0.0402,0.975,155.033,158560
1960,Connie Francis,FALSE,Everybody's Somebody's Fool,0.587,0.72,1,-5.214,1,0.0303,0.792,1.54e-5,0.255,0.806,84.272,160093
1960,Bobby Rydell,FALSE,Wild One - Re-Recording,0.629,0.679,7,-7.908,1,0.0318,0.395,3.09e-5,0.0947,0.886,151.657,136947
1960,The Brothers Four,FALSE,Greenfields,0.485,0.182,11,-18.083,0,0.0434,0.852,0,0.112,0.347,110.608,183360
1960,Jack Scott,FALSE,What In The World's Come Over You,0.503,0.194,4,-12.741,1,0.0287,0.83,4.08e-6,0.0938,0.513,76.421,166972
1960,Marty Robbins,FALSE,El Paso,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-5,0.16,0.697,106.662,259307
1960,Hollywood Argyles,FALSE,Alley Oop,0.647,0.454,7,-9.954,1,0.0545,0.849,0,0.212,0.885,64.56,160800
1960,Connie Francis,FALSE,My Heart Has A Mind Of Its Own,0.49,0.528,6,-6.758,1,0.0373,0.776,0,0.32,0.696,109.439,153933
1960,Brenda Lee,FALSE,Sweet Nothin's - Single Version,0.805,0.363,5,-13.409,1,0.0578,0.752,3.71e-4,0.109,0.962,126.382,142933
1960,Brian Hyland,FALSE,Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,0.795,0.4,2,-13.01,1,0.0749,0.682,0,0.0326,0.968,122.174,144493
1960,Roy Orbison,FALSE,Only The Lonely (Know The Way I Feel),0.584,0.519,5,-10.767,1,0.0283,0.41,0.00475,0.21,0.933,123.25,146200
1960,Dion & The Belmonts,FALSE,Where Or When,0.454,0.271,8,-11.658,1,0.0283,0.797,0,0.126,0.401,110.89,157800
1960,Connie Stevens,FALSE,Sixteen Reasons,0.339,0.406,10,-8.955,1,0.0319,0.865,1.1e-5,0.11,0.629,109.783,118133
1960,Paul Anka,FALSE,Puppy Love,0.346,0.348,7,-13.336,1,0.0308,0.297,5.75e-4,0.334,0.631,101.527,168200
1960,Frankie Avalon,FALSE,Why,0.443,0.415,5,-8.543,1,0.0268,0.795,0,0.113,0.601,94.835,155240
1960,The Ventures,FALSE,Walk Don't Run,0.491,0.828,0,-7.342,1,0.0314,0.822,0.682,0.17,0.938,155.213,123480
1960,The Drifters,FALSE,Save the Last Dance for Me (Remastered),0.576,0.545,4,-9.648,1,0.0385,0.556,0,0.344,0.867,144.217,147104
1960,Dinah Washington,FALSE,Baby You've Got What It Takes,0.672,0.358,8,-15.851,1,0.0455,0.766,1.42e-4,0.242,0.834,132.249,164720
1960,Johnny Horton,FALSE,Sink The Bismarck,0.68,0.57,3,-12.388,1,0.0958,0.652,1.18e-5,0.0565,0.965,115.894,194640
1960,Sam Cooke,FALSE,Chain Gang,0.698,0.661,7,-9.674,1,0.0416,0.636,0,0.228,0.816,131.808,160000
1960,The Association,FALSE,Cherish,0.494,0.407,5,-14.463,1,0.0345,0.726,0,0.116,0.537,110.13,205693
1960,The Everly Brothers,FALSE,Let It Be Me,0.387,0.13,7,-17.233,1,0.0275,0.767,0,0.404,0.297,88.461,161267
1960,Jimmy Jones,FALSE,Good Timin',0.604,0.519,7,-10.142,0,0.196,0.701,0.0492,0.0861,0.949,144.999,132347
1960,Bobby Darin,FALSE,Beyond The Sea,0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.574,136.483,172480
1960,Jimmy Clanton,FALSE,"Go, Jimmy, Go",0.519,0.625,0,-4.547,1,0.0369,0.451,0,0.111,0.771,137.919,130493
1960,Jackie Wilson,FALSE,Night,0.284,0.402,3,-11.136,1,0.0306,0.813,0.0121,0.346,0.428,100.875,168093
1960,Jack Scott,FALSE,Burning Bridges - Original Hit Version,0.465,0.276,2,-13.184,1,0.0242,0.809,2.72e-4,0.214,0.23,82.613,161733
1960,Toni Fisher,FALSE,The Big Hurt,0.544,0.509,1,-13.315,1,0.0387,0.761,0,0.485,0.618,125.971,127267
1960,Duane Eddy,FALSE,Because They're Young (Rerecorded),0.581,0.644,4,-10.684,1,0.0397,0.526,0.955,0.606,0.941,121.62,116680
1960,Conway Twitty,FALSE,Lonely Blue Boy,0.537,0.641,5,-8.119,1,0.0388,0.841,4.94e-4,0.272,0.68,112.74,134587
1960,Steve Lawrence,FALSE,Pretty Blue Eyes,0.477,0.575,5,-11.266,1,0.0318,0.46,0,0.4,0.857,126.408,111961
1960,Freddy Cannon,FALSE,Way Down Yonder In New Orleans,0.658,0.699,10,-10.112,1,0.058,0.491,1.41e-5,0.146,0.912,143.622,159879
1960,Anita Bryant,FALSE,Paper Roses,0.334,0.22,7,-14.159,1,0.0318,0.883,0,0.162,0.312,114.629,175147
1960,Larry Verne,FALSE,Mr. Custer - Re-Recording,0.833,0.277,6,-13.025,0,0.0997,0.453,5.16e-5,0.078,0.0553,107.694,189000
1960,Brenda Lee,FALSE,I Want To Be Wanted (Per Tutta La Vita) - Remake Version,0.491,0.222,8,-16.239,1,0.0314,0.786,3.44e-6,0.184,0.461,108.651,183853
1960,The Fendermen,FALSE,Mule Skinner Blues,0.468,0.426,4,-9.538,1,0.0347,0.888,6.35e-5,0.208,0.625,127.609,142000
1960,Johnny Preston,FALSE,Cradle of Love,0.478,0.562,6,-8.392,0,0.0791,0.742,0,0.118,0.888,173.737,142524
1960,Tommy James & The Shondells,FALSE,Crimson And Clover,0.456,0.609,11,-11.767,1,0.068,0.275,0.0198,0.108,0.668,84.441,209800
1960,Marv Johnson,FALSE,You Got What It Takes - Re-Recording,0.782,0.67,2,-11.849,1,0.0501,0.134,0,0.0843,0.961,135.075,164133
1960,Hank Locklin,FALSE,Please Help Me I'm Falling,0.58,0.384,7,-8.649,1,0.0312,0.889,3.71e-5,0.121,0.582,105.76,140214
1960,Ron Holden,FALSE,Love You So - Re-Recording,0.709,0.557,3,-10.98,1,0.0434,0.221,0.425,0.13,0.874,139.781,187520
1960,Hank Ballard,FALSE,Finger Poppin Time,0.526,0.603,1,-8.661,0,0.0346,0.241,0,0.326,0.928,159.024,157571
1960,The Platters,FALSE,Harbor Lights,0.319,0.571,6,-4.294,1,0.033,0.943,5.81e-4,0.318,0.36,78.755,194547
1960,Billy Bland,FALSE,Let the Little Girl Dance,0.474,0.435,5,-14.622,1,0.107,0.254,0.00152,0.351,0.962,146.684,139133
1960,Jeanne Black,FALSE,He'll Have To Stay - Original Hit Version,0.354,0.179,10,-9.088,1,0.0355,0.953,2.54e-6,0.114,0.41,166.375,164440
1960,Ferrante & Teicher,FALSE,"Theme From ""The Apartment""",0.383,0.275,5,-14.572,1,0.0277,0.884,0.941,0.146,0.109,95.786,181667
1960,Bobby Rydell,FALSE,Volare - Re-Recording,0.647,0.655,0,-9.372,1,0.128,0.638,4.93e-5,0.244,0.569,126.618,160400
1960,Jimmy Charles,FALSE,A Million To One,0.283,0.327,10,-13.089,1,0.0336,0.567,0,0.19,0.404,102.545,150265
1960,Andy Williams,FALSE,The Village of St. Bernadette,0.135,0.227,8,-12.953,1,0.0317,0.831,4.5e-6,0.359,0.315,174.449,201867
1960,Bill Black's Combo,FALSE,White Silver Sands,0.861,0.531,0,-10.148,1,0.0433,0.635,0.723,0.068,0.962,117.187,153320
1960,The Browns,FALSE,The Old Lamplighter,0.558,0.149,2,-15.87,1,0.0325,0.961,9.75e-6,0.101,0.493,91.785,145000
1960,Bobby Vee,FALSE,Devil Or Angel,0.571,0.283,5,-10.218,1,0.0318,0.702,0,0.0998,0.611,113.091,138293
1960,The Four Preps,FALSE,Down By The Station,0.873,0.413,4,-12.808,1,0.0853,0.725,4.69e-4,0.0605,0.966,122.015,150360
1960,Little Dippers,FALSE,Forever,0.533,0.364,0,-11.703,1,0.026,0.392,1.3e-4,0.109,0.53,72.039,144960
1960,The Safaris,FALSE,Image Of A Girl,0.247,0.359,2,-8.888,1,0.0304,0.794,0,0.0699,0.449,185.652,162267
1960,Brook Benton,FALSE,Kiddio,0.742,0.416,3,-8.942,1,0.0417,0.747,8.73e-5,0.22,0.764,112.069,154160
1960,Donnie Brooks,FALSE,Mission Bell - Re-Recording,0.52,0.492,10,-9.578,1,0.0269,0.611,1.18e-5,0.135,0.847,83.038,140480
1960,Marv Johnson,FALSE,I Love The Way You Love,0.835,0.611,9,-9.49,1,0.0338,0.165,3.05e-5,0.0909,0.944,132.757,158560
1960,Paul Anka,FALSE,Time To Cry,0.411,0.365,3,-9.738,1,0.0297,0.721,0,0.314,0.503,110.882,147667
1960,Ray Peterson,FALSE,Tell Laura I Love Her,0.556,0.348,10,-13.147,1,0.0363,0.753,0,0.086,0.285,102.419,179664
1960,Connie Francis,FALSE,Mama,0.234,0.277,0,-9.701,1,0.0334,0.963,0.00827,0.541,0.103,89.172,235964
1960,Steve Lawrence,FALSE,Footsteps,0.516,0.432,2,-14.826,0,0.0387,0.633,0,0.51,0.896,143.835,134200
1960,The Everly Brothers,FALSE,So Sad (To Watch Good Love Go Bad),0.546,0.198,4,-16.829,1,0.028,0.628,0,0.279,0.395,102.39,153533
1960,Brenda Lee,FALSE,That's All You Gotta Do,0.615,0.57,1,-8.003,1,0.0302,0.421,2.69e-6,0.233,0.95,97.241,148960
1960,Fats Domino,FALSE,Walkin' To New Orleans,0.287,0.588,1,-10.653,1,0.0318,0.391,0,0.0887,0.758,86.916,146240
1960,Connie Francis,FALSE,Among My Souvenirs,0.478,0.453,9,-7.046,1,0.0271,0.4,6.4e-6,0.126,0.462,108.043,154133
1960,Bobby Rydell,FALSE,Swingin' School,0.724,0.621,5,-10.848,1,0.178,0.321,0.0203,0.323,0.892,151.337,134267
1960,Dinah Washington,FALSE,A Rockin' Good Way (To Mess Around And Fall In Love),0.793,0.489,3,-11.84,1,0.0631,0.855,4.71e-5,0.212,0.958,129.915,148827
1960,Neil Sedaka,FALSE,Stairway to Heaven - Remastered,0.5,0.727,5,-7.531,1,0.0327,0.658,0,0.249,0.902,127.927,159773
1960,Paul Anka,FALSE,My Home Town,0.79,0.514,11,-10.743,0,0.0362,0.223,0,0.14,0.962,117.022,126293
1960,Ray Charles,FALSE,Georgia On My Mind,0.251,0.253,7,-11.212,1,0.0316,0.686,0,0.147,0.202,101.092,216750
1960,Sam Cooke,FALSE,Wonderful World,0.686,0.49,11,-10.385,1,0.0359,0.748,0,0.444,0.906,128.293,125840
1960,Spencer Ross,FALSE,Tracy's Theme,0.405,0.243,5,-18.333,1,0.0337,0.96,0.709,0.0855,0.151,116.544,171892
1960,Lloyd Price,FALSE,Lady Luck,0.628,0.613,5,-6.434,1,0.032,0.627,0,0.249,0.753,122.256,138733
1960,The Crests,FALSE,Step by Step,0.408,0.602,9,-7.65,0,0.0439,0.529,0,0.131,0.904,200.409,151560
1960,Paul Evans,FALSE,Happy-Go-Lucky-Me,0.717,0.545,9,-10.97,1,0.048,0.809,0.0554,0.243,0.961,93.888,117253
1960,Ricky Nelson,FALSE,Young Emotions - Digitally Remastered 05,0.474,0.22,7,-13.862,0,0.0365,0.572,6.9e-5,0.126,0.409,77.4,153813
1960,Johnny Burnette,FALSE,Dreamin',0.391,0.45,4,-12.819,1,0.0419,0.442,0,0.327,0.752,74.525,136560
1960,Joe Jones,FALSE,You Talk Too Much,0.752,0.474,2,-11.859,1,0.0393,0.72,0.00911,0.0747,0.793,123.875,161265
1960,Johnny & The Hurricanes,FALSE,Beatnik Fly,0.566,0.832,6,-9.887,1,0.0384,0.497,0.838,0.427,0.929,90.107,128533
1960,Bob Luman,FALSE,Let's Think About Living,0.611,0.685,2,-13.523,1,0.108,0.396,8.96e-6,0.136,0.866,197.856,116013
1960,Guy Mitchell,FALSE,Heartaches By The Number,0.518,0.556,5,-13.264,1,0.0479,0.526,3e-6,0.0853,0.726,171.496,153902
1960,Anita Bryant,FALSE,In My Little Corner Of The World,0.483,0.321,11,-12.302,1,0.0281,0.845,1.58e-5,0.348,0.404,107.728,160080
1960,Jackie Wilson,FALSE,Doggin Around,0.566,0.243,5,-13.724,1,0.0276,0.9,0.103,0.21,0.48,94.907,171333
